URN,EstablishmentName,Easting,Northing,Type
100321,Addison Primary School,523706,179379,Primary School
100322,Avonmore Primary School,524403,178848,Primary School
100324,Brackenbury Primary School,522760,179365,Primary School
100326,Miles Coverdale Primary School,523026,179840,Primary School
100328,Flora Gardens Primary School,522590,178797,Primary School
100331,Kenmont Primary School,522501,182898,Primary School
100334,Melcombe Primary School,523607,177859,Primary School
100335,Old Oak Primary School,521948,181361,Primary School
100338,Sir John Lillie Primary School,524416,177532,Primary School
100340,Wendell Park Primary School,521631,179719,Primary School
100341,Wormholt Park Primary School,522318,180664,Primary School
100344,All Saints CofE Primary School,524167,176390,Primary School
100345,Holy Cross RC School,525175,176754,Primary School
100346,John Betts Primary School,522568,179018,Primary School
100347,St Augustine's RC Primary School,524414,177667,Primary School
100349,St Johns Walham Green Church of England Primary School,524468,176864,Primary School
100350,St Mary's Catholic Primary School,523932,179282,Primary School
100351,St Paul's CofE Primary School,523176,178344,Primary School
100352,St Peter's Primary School,522274,178492,Primary School
100353,St Stephen's CofE Primary School,523106,180001,Primary School
100354,Good Shepherd RC Primary School,521890,179649,Primary School
100355,St John XXIII Catholic Primary School,522736,180735,Primary School
100357,St Thomas of Canterbury Catholic Primary School,524581,177345,Primary School
100397,Ambler Primary School and Children's Centre,531678,186560,Primary School
100401,Copenhagen Primary School,530572,183535,Primary School
100402,Drayton Park Primary School,531433,185329,Primary School
100403,Duncombe Primary School,530146,187006,Primary School
100405,Gillespie Primary School,531802,186280,Primary School
100406,Grafton Primary School,530483,186145,Primary School
100407,Hanover Primary School,531982,183273,Primary School
100408,Hargrave Park Primary School,529016,186684,Primary School
100411,Laycock Primary School,531535,184551,Primary School
100415,Moreland Primary School,531942,182766,Primary School
100418,Pakeman Primary School,530838,186121,Primary School
100422,Robert Blair School,530342,184544,Primary School
101879,Coston Primary School,514489,182952,Primary School
101880,Downe Manor Primary School,510787,182863,Primary School
101881,Drayton Green Primary School,516345,180901,Primary School
101884,North Primary School,512947,180576,Primary School
101885,Ravenor Primary School,513414,182823,Primary School
101601,Southborough Primary School,543289,167542,Primary School
101614,Downe Primary School,543350,161795,Primary School
101635,Edgebury Primary School,544161,171654,Primary School
101641,Poverest Primary School,546288,167923,Primary School
101712,Beulah Junior School,532319,168968,Primary School
101720,Elmwood Junior School,531899,166938,Primary School
101721,Elmwood Infant School,531899,166938,Primary School
