id,name
E02002895,Nottingham 028
E02004046,Bolsover 002
E02004109,North East Derbyshire 005
E02004119,South Derbyshire 002
E02005365,Charnwood 021
E02005399,North West Leicestershire 003
E02005408,North West Leicestershire 012
E02005482,South Kesteven 007
E02005666,West Northamptonshire 021
E02005873,Gedling 009
E02005905,Newark and Sherwood 013
E02003237,Peterborough 001
E02003261,Luton 004
E02003731,Cambridge 013
E02004441,Basildon 018
E02004453,Braintree 008
E02004495,Chelmsford 011
E02004560,Maldon 006
E02004885,East Hertfordshire 008
E02004921,North Hertfordshire 013
E02004924,St Albans 001
E02006264,Mid Suffolk 004
E02006874,South Cambridgeshire 021
E02000055,Barnet 032
E02000073,Bexley 009
E02000377,Hammersmith and Fulham 006
E02000511,Hillingdon 018
E02000575,Islington 022
E02000635,Lambeth 018
E02000670,Lewisham 018
E02000756,Redbridge 006
E02000776,Redbridge 026
E02001698,Gateshead 017
E02001793,Sunderland 003
E02002521,Redcar and Cleveland 007
E02002539,Stockton-on-Tees 005
E02002570,Darlington 012
E02004307,County Durham 024
E02005715,Northumberland 029
E02005729,Northumberland 036
E02007063,Stockton-on-Tees 028
E02001022,Bury 004
E02001059,Manchester 015
E02001061,Manchester 017
E02001131,Oldham 034
E02001194,Stockport 008
E02002602,Warrington 013
E02003877,Cheshire West and Chester 015
E02003968,Allerdale 004
E02005182,Burnley 007
E02005222,Lancaster 002
E02005311,West Lancashire 008
E02006935,St. Helens 024
E02003325,Medway 012
E02003348,Medway 035
E02004378,Hastings 011
E02004842,Winchester 014
E02005054,Dover 014
E02005064,Gravesham 010
E02005101,Sevenoaks 015
E02005153,Tonbridge and Malling 005
E02005974,South Oxfordshire 017
E02005997,West Oxfordshire 005
E02006320,Elmbridge 004
E02006561,Chichester 001
E02006566,Chichester 006
E02002991,Bath and North East Somerset 007
E02003111,South Gloucestershire 022
E02004178,North Devon 004
E02004190,South Hams 002
E02004250,Dorset 018
E02004284,Dorset 044
E02006051,Mendip 005
E02006116,Somerset West and Taunton 004
E02006117,Somerset West and Taunton 005
E02006845,North Somerset 026
E02006951,Bristol 060
E02001902,Birmingham 076
E02002013,Dudley 014
E02002013,Dudley 033
E02002067,Sandwell 025
E02002108,Solihull 028
E02002108,Solihull 029
E02006174,South Staffordshire 001
E02006495,Rugby 004
E02006715,Malvern Hills 006
E02006747,Worcester 014
E02006748,Wychavon 001
E02001529,Barnsley 021
E02001540,Doncaster 002
E02001584,Rotherham 007
E02001630,Sheffield 020
E02002219,Bradford 037
E02002248,Calderdale 005
E02002323,Kirklees 053
E02002325,Kirklees 055
E02002361,Leeds 032
E02002460,Wakefield 023
E02005750,Hambleton 001
E02005817,Selby 009
