,id,name,employment_bus,employment_car,education_bus,education_car,healthcare_bus,healthcare_car,total_bus,total_car,employment_ratio,education_ratio,healthcare_ratio,ratio
0,E06000001,Hartlepool,31.0,776.0,27.0,656.0,10.0,207.0,66.0,1640.0,0.0404191616766467,0.0402219140083217,0.0482758620689655,0.0416666666666666
1,E06000002,Middlesbrough,42.0,614.0,32.0,534.5,18.0,154.5,89.0,1299.0,0.0658559424361154,0.0593731163351416,0.10568783068783065,0.06866018533619514
2,E06000003,Redcar and Cleveland,21.5,478.0,17.0,403.5,5.0,119.5,43.0,1001.0,0.038723665266691,0.036550202502569004,0.03644911504424775,0.0380729109102811
3,E06000004,Stockton-on-Tees,23.5,787.0,19.0,679.0,10.0,212.5,52.0,1680.0,0.02385563870680205,0.02197022869509265,0.0219583735133397,0.0235121874171018
4,E06000005,Darlington,30.5,664.0,21.0,609.5,9.0,165.0,60.0,1442.0,0.04788137878951335,0.0359533082639448,0.0545454545454545,0.044119676944939
5,E06000006,Halton,24.0,2375.0,30.0,1804.0,8.0,725.5,62.0,4899.0,0.0103155816546537,0.0165079853235775,0.01100414736778365,0.012689435305568
6,E06000007,Warrington,30.0,408.5,22.0,239.5,12.0,81.5,62.5,723.5,0.06385592555805315,0.08058862945209005,0.11963434022257549,0.07833301845204355
7,E06000008,Blackburn with Darwen,28.0,1723.0,26.0,1382.0,10.0,514.0,61.0,3623.0,0.0151843817787418,0.017968210089841,0.019434628975265,0.0169061707523246
8,E06000009,Blackpool,62.0,494.0,30.0,389.0,16.0,115.0,108.0,998.0,0.1288014311270125,0.0786516853932584,0.135593220338983,0.1117136659436008
9,E06000010,"Kingston upon Hull, City of",49.0,325.0,34.0,251.0,14.0,68.0,97.0,645.0,0.1508515815085158,0.1401869158878504,0.1969696969696969,0.1511423550087873
10,E06000011,East Riding of Yorkshire,8.0,317.0,7.0,247.0,2.0,69.0,15.5,631.0,0.02531720078482665,0.0271726649388143,0.0219164933610622,0.02656570394173255
11,E06000012,North East Lincolnshire,35.0,254.0,23.0,201.0,13.0,66.0,71.0,521.0,0.1459459459459459,0.12,0.2027027027027027,0.1437908496732026
12,E06000013,North Lincolnshire,18.0,477.0,12.0,384.0,5.0,116.0,32.0,979.0,0.042016806722689,0.0348837209302325,0.0454545454545454,0.0385078219013237
13,E06000014,York,28.0,569.0,16.0,466.0,4.0,119.0,48.0,1149.0,0.0455696202531645,0.0344827586206896,0.0290697674418604,0.040625
14,E06000015,Derby,41.5,1307.5,35.0,1092.0,11.0,327.5,87.0,2718.5,0.03424778742851965,0.0327629522054673,0.03515654258108,0.033515359808413
15,E06000016,Leicester,66.0,1138.0,41.0,869.0,26.0,297.0,133.5,2295.5,0.0599598630808909,0.05104104331317965,0.090282131661442,0.0604132932377207
16,E06000017,Rutland,3.0,467.0,3.0,396.0,1.0,100.5,8.0,966.5,0.00786260751355575,0.0076192964123997994,0.0088148493320907,0.00718858776238265
17,E06000018,Nottingham,99.0,1191.0,66.0,1001.0,37.0,291.0,205.0,2480.0,0.0861823361823361,0.0669330669330669,0.1287553648068669,0.0839870789109367
18,E06000019,"Herefordshire, County of",5.0,153.0,3.0,149.0,1.0,32.0,11.0,334.0,0.0181159420289855,0.0201342281879194,0.0357142857142857,0.01953125
19,E06000020,Telford and Wrekin,20.0,998.0,15.0,836.0,4.0,315.0,38.0,2151.0,0.0207877461706783,0.0192502532928064,0.0126050420168067,0.018904507998061
20,E06000021,Stoke-on-Trent,33.0,627.0,24.0,537.0,11.0,158.0,70.0,1318.0,0.0542264752791068,0.0491573033707865,0.0683229813664596,0.0534861509073543
21,E06000022,Bath and North East Somerset,24.0,623.0,19.0,497.0,6.0,114.0,49.0,1232.0,0.0426966292134831,0.039447731755424,0.0610687022900763,0.0440565253532834
22,E06000023,"Bristol, City of",66.0,700.0,42.0,554.0,13.5,133.0,121.0,1389.5,0.09473987550910624,0.0763882149327122,0.1,0.08775191483364031
23,E06000024,North Somerset,15.0,569.0,11.0,436.5,2.0,107.0,27.0,1113.0,0.0252562907735321,0.0252648925922917,0.0185185185185185,0.022709489258785
24,E06000025,South Gloucestershire,28.0,734.0,23.0,579.0,5.0,136.0,57.0,1450.0,0.0364583333333333,0.0382775119617224,0.036231884057971,0.03744880046811
25,E06000026,Plymouth,54.0,249.0,38.5,223.5,13.0,48.0,104.5,520.5,0.21826771653543303,0.1806307617661329,0.27003205128205127,0.20577909802862543
26,E06000027,Torbay,26.0,339.0,11.0,201.0,5.0,69.0,43.0,603.0,0.0772200772200772,0.0523809523809523,0.0694444444444444,0.0704
27,E06000030,Swindon,30.0,367.5,26.0,340.0,8.0,72.0,63.0,779.0,0.0849530948113317,0.06978991394644485,0.1118935837245696,0.0806453346749139
28,E06000031,Peterborough,25.0,625.0,21.0,530.0,5.0,131.0,52.0,1286.0,0.0311332503113325,0.036036036036036,0.0267686424474187,0.0320800275957226
29,E06000032,Luton,44.0,1425.0,27.0,1092.0,16.0,364.0,86.0,2797.0,0.0319526627218934,0.0248756218905472,0.0439814814814814,0.0310077519379844
30,E06000033,Southend-on-Sea,59.5,1333.5,31.5,959.0,18.0,344.0,111.0,2649.0,0.0470470786044556,0.0340268439875255,0.0524349668276031,0.04413535224218705
31,E06000034,Thurrock,20.0,3263.5,14.0,2131.5,7.0,821.0,43.0,6228.5,0.007151223919379,0.0074276543803408,0.010303969762281349,0.00763057360363625
32,E06000035,Medway,30.0,1492.0,22.0,1060.0,12.0,373.0,63.0,2920.0,0.0179238237490664,0.0201492537313432,0.0309734513274336,0.0192096597145993
33,E06000036,Bracknell Forest,22.5,878.5,17.0,695.5,6.0,159.5,46.0,1732.0,0.0219994141470745,0.0202368613969008,0.0263340263340263,0.0217079231808531
34,E06000037,West Berkshire,13.0,808.0,10.0,648.0,2.0,150.0,27.0,1620.0,0.0116918844566712,0.0121580547112462,0.0086206896551724,0.0116959064327485
35,E06000038,Reading,46.0,1307.0,34.0,956.5,14.0,291.0,89.0,2565.0,0.039266960305807896,0.034923849136852606,0.04810730919945935,0.0376593500552548
36,E06000039,Slough,41.5,1894.5,30.0,1294.5,10.0,457.5,81.5,3646.5,0.021532710400741853,0.0195745809227865,0.01847171453437765,0.0203180966793184
37,E06000040,Windsor and Maidenhead,21.0,753.0,14.0,489.0,5.0,141.0,40.0,1372.0,0.0213333333333333,0.0189473684210526,0.0260869565217391,0.0211742059672762
38,E06000041,Wokingham,23.0,844.0,16.0,721.0,4.0,188.0,44.0,1740.0,0.0229166666666666,0.0205479452054794,0.0169491525423728,0.0214105793450881
39,E06000042,Milton Keynes,22.0,710.0,16.0,610.5,4.0,151.0,42.0,1468.0,0.0298915093777673,0.0320267595628207,0.02768464412300025,0.0313408859349983
40,E06000043,Brighton and Hove,84.0,762.0,34.0,488.0,22.0,133.0,142.0,1383.0,0.132258064516129,0.0840579710144927,0.1732283464566929,0.1193029490616622
41,E06000044,Portsmouth,31.0,841.0,19.0,544.0,5.0,149.0,52.0,1534.0,0.0337636544190665,0.0315126050420168,0.0317460317460317,0.032555615843733
42,E06000045,Southampton,21.0,782.0,12.0,514.0,5.0,135.5,38.5,1431.5,0.053907213608468896,0.0488535954768872,0.07670217209690885,0.05700581097340545
43,E06000046,Isle of Wight,6.0,614.0,3.0,528.0,1.0,124.0,10.0,1263.0,0.0110619469026548,0.0068376068376068,0.0134228187919463,0.0097154753643303
44,E06000047,County Durham,19.0,921.5,18.0,780.5,4.0,248.0,41.5,1948.0,0.02242463366865275,0.0238411014273083,0.0205489092188599,0.02287304401388285
45,E06000049,Cheshire East,12.0,1133.5,9.0,876.5,3.0,289.5,22.0,2300.5,0.008995767064023101,0.0096281777144214,0.0081965837779791,0.0095483795678847
46,E06000050,Cheshire West and Chester,13.0,1206.5,11.0,939.5,5.0,370.5,31.5,2513.0,0.0119064493267186,0.012039133979527099,0.01480595160892555,0.01289531777878055
47,E06000051,Shropshire,5.0,294.0,4.0,253.0,1.0,60.0,11.0,612.0,0.0159744408945686,0.0146341463414634,0.0188679245283018,0.0164092664092664
48,E06000052,Cornwall,7.0,167.0,5.0,142.0,1.0,32.0,13.0,342.0,0.0425531914893617,0.0394736842105263,0.04,0.0426540284360189
49,E06000053,Isles of Scilly,,,,,,,,,,,,
50,E06000054,Wiltshire,10.0,2234.0,8.0,1659.5,2.0,664.5,20.5,4615.5,0.00539014096795115,0.00632530583980915,0.0040650481140857,0.0055300011330311
51,E06000055,Bedford,19.0,776.0,12.0,669.0,5.0,171.0,37.0,1613.0,0.0242214532871972,0.016497461928934,0.0284463894967177,0.0219134152859433
52,E06000056,Central Bedfordshire,7.0,624.0,5.0,536.0,2.0,135.0,14.0,1289.0,0.0102214650766609,0.0087719298245614,0.0098039215686274,0.0094530722484807
53,E06000057,Northumberland,16.0,736.0,12.0,588.0,4.0,203.0,33.0,1529.0,0.0293398533007334,0.027027027027027,0.0246305418719211,0.0283641160949868
54,E06000058,"Bournemouth, Christchurch and Poole",46.5,494.5,22.0,285.5,11.0,99.5,79.5,882.5,0.05570409982174685,0.04888554139964765,0.0650771247101522,0.05347935928468445
55,E06000059,Dorset,7.0,228.0,4.0,173.0,1.0,49.0,13.0,444.0,0.0192307692307692,0.0203045685279187,0.0252100840336134,0.0209790209790209
56,E06000060,Buckinghamshire,16.5,1567.0,11.5,1123.5,4.0,395.0,32.0,3087.0,0.01178297405918885,0.01112435864484865,0.0119284765699108,0.01149394835971295
57,E06000061,North Northamptonshire,15.0,559.0,12.0,486.0,3.0,120.0,30.0,1163.0,0.0249221183800623,0.0244360902255639,0.027027027027027,0.0249307479224376
58,E06000062,West Northamptonshire,16.5,757.0,14.0,670.0,3.0,161.0,34.0,1585.5,0.02132052229613205,0.019838878297767648,0.0159787234042553,0.01943749243822455
59,E06000063,Cumberland,10.0,98.0,10.0,115.0,3.0,22.0,23.0,235.0,0.1142857142857142,0.0989010989010989,0.1666666666666666,0.1129032258064516
60,E06000064,Westmorland and Furness,9.5,97.0,7.5,107.0,2.0,25.0,18.0,233.0,0.0720536972483868,0.051672384219554,0.08166666666666665,0.0618878757176629
61,E06000065,North Yorkshire,6.0,479.0,6.0,416.0,2.0,113.0,14.0,1016.0,0.0128205128205128,0.0133333333333333,0.0157728706624605,0.0132992327365728
62,E06000066,Somerset,6.0,266.0,5.0,239.0,2.0,59.0,14.0,565.0,0.0203389830508474,0.0208333333333333,0.0263157894736842,0.0218340611353711
63,E08000001,Bolton,47.0,2441.0,39.0,1919.0,19.0,730.0,105.0,5090.0,0.018568665377176,0.0212418300653594,0.0275103163686382,0.0207444746025591
64,E08000002,Bury,60.0,2502.0,45.0,1949.0,19.0,753.5,124.5,5204.5,0.0225374587548006,0.02228989335923355,0.0250124959036607,0.02299589115280795
65,E08000003,Manchester,101.0,2557.0,68.0,1999.0,34.0,760.0,199.0,5318.0,0.0403889304412864,0.034416826003824,0.046031746031746,0.0391286809197257
66,E08000004,Oldham,59.0,446.0,50.0,343.0,30.0,88.5,136.5,874.5,0.09256774437806566,0.11376152402708656,0.2710884353741496,0.1198033550377023
67,E08000005,Rochdale,45.0,2132.0,34.0,1653.0,19.0,636.0,97.0,4426.0,0.0205070842654735,0.0198281559814937,0.0289608177172061,0.0215106330970422
68,E08000006,Salford,70.0,2850.0,50.0,2238.0,24.0,860.0,141.0,5950.0,0.0252301397886123,0.0226786478391099,0.0279569892473118,0.0245316681534344
69,E08000007,Stockport,46.0,2087.0,30.0,1614.0,11.0,623.0,86.0,4326.0,0.0232018561484918,0.0189914865749836,0.0183150183150183,0.0206696982224059
70,E08000008,Tameside,46.5,1968.5,36.5,1517.0,16.0,607.0,94.5,4082.0,0.0241924778193142,0.02457643538139425,0.02760527603953055,0.02427112075632825
71,E08000009,Trafford,53.0,2713.0,35.0,2118.0,16.0,820.0,105.0,5649.0,0.020244461420932,0.0165798199905258,0.0200708382526564,0.0181605155243116
72,E08000010,Wigan,36.0,2582.0,29.0,2022.0,15.5,794.0,78.5,5405.5,0.01632518175809645,0.0155164702731655,0.02066036156678935,0.0163627870837022
73,E08000011,Knowsley,44.5,2087.0,34.5,1586.0,18.5,649.5,96.0,4324.0,0.02811682028200125,0.02949013157894735,0.037560336146126305,0.029573687182382798
74,E08000012,Liverpool,112.0,1540.0,83.0,1181.0,43.0,480.0,241.0,3212.5,0.08500799767340406,0.08132655913868511,0.10659528751957459,0.08666901349134265
75,E08000013,St. Helens,31.0,2048.0,22.0,1482.0,18.0,571.0,68.0,4092.0,0.0148619957537154,0.0157480314960629,0.0295566502463054,0.0181447040145157
76,E08000014,Sefton,47.0,1441.0,26.0,1116.0,14.0,432.0,88.0,3002.0,0.0347097546379413,0.0282651072124756,0.0419047619047619,0.0337756332931242
77,E08000015,Wirral,45.0,1057.0,31.0,834.0,15.0,327.0,92.0,2222.0,0.0422812192723697,0.0362047440699126,0.046583850931677,0.0409649522075557
78,E08000016,Barnsley,19.0,1421.0,14.0,1109.5,6.0,360.5,39.5,2891.5,0.0141780276108634,0.01278905915804835,0.01712749381320455,0.014127086617363751
79,E08000017,Doncaster,20.0,1313.0,16.0,1036.0,6.0,323.0,42.0,2683.0,0.0149700598802395,0.0159362549800796,0.0172413793103448,0.015283084404307
80,E08000018,Rotherham,20.0,1418.5,19.0,1176.0,6.5,351.0,44.5,2934.5,0.015256906171909699,0.01679988813758045,0.01871173622504095,0.015801369190631798
81,E08000019,Sheffield,52.0,1159.0,34.0,952.0,18.0,297.0,106.0,2404.0,0.0456226880394574,0.0364188163884673,0.0583090379008746,0.0428671820098383
82,E08000021,Newcastle upon Tyne,82.0,897.0,53.0,739.0,21.5,241.0,155.5,1877.5,0.09181429331962615,0.07095059569038434,0.08919961427193825,0.08241239892183286
83,E08000022,North Tyneside,64.0,869.0,41.0,707.0,16.0,235.0,124.0,1810.0,0.0746268656716417,0.0591471801925722,0.0689655172413793,0.0690065437239738
84,E08000023,South Tyneside,52.0,924.0,43.0,756.0,19.0,252.0,114.0,1932.0,0.0588235294117647,0.0604890604890604,0.0769230769230769,0.0612359550561797
85,E08000024,Sunderland,48.0,1085.0,35.0,892.0,17.0,296.0,100.0,2277.0,0.0446247464503042,0.0404371584699453,0.0580645161290322,0.0439761795693999
86,E08000025,Birmingham,88.0,1931.0,75.0,1562.0,31.0,585.0,198.0,4074.0,0.0466708151835718,0.049114791547687,0.0555555555555555,0.048817465130382
87,E08000026,Coventry,58.0,1985.0,46.0,1597.0,23.0,597.0,126.0,4184.0,0.029326923076923,0.0284450063211125,0.0389380530973451,0.0300802139037433
88,E08000027,Dudley,50.0,1571.0,34.0,1276.5,16.0,482.0,98.5,3329.0,0.0331843408619902,0.027233789221974003,0.03355819550864485,0.0304908435661824
89,E08000028,Sandwell,66.0,2038.5,59.0,1652.0,29.5,605.0,158.0,4294.0,0.03397618230702115,0.03631545539704365,0.0490196078431372,0.03712751058958595
90,E08000029,Solihull,54.0,2003.0,41.0,1621.0,14.0,603.0,109.0,4231.0,0.0268125562936131,0.02556989318849865,0.02215766347376105,0.0261533529294208
91,E08000030,Walsall,58.0,2004.0,49.0,1633.0,22.0,597.0,130.0,4239.0,0.0293321299638989,0.0310407790626902,0.0387453874538745,0.0316634135762307
92,E08000031,Wolverhampton,49.0,1684.0,39.0,1387.0,19.0,511.0,106.0,3582.0,0.0291858678955453,0.028062970568104,0.0373831775700934,0.0295429208472686
93,E08000032,Bradford,42.5,1345.0,36.0,1041.0,12.0,351.5,91.0,2743.0,0.0344497923122568,0.03733071381794365,0.03975308641975305,0.03619052379048375
94,E08000033,Calderdale,32.0,1250.0,23.0,982.0,9.0,350.0,65.0,2606.0,0.0232558139534883,0.0227048371174728,0.025563909774436,0.0221388367729831
95,E08000034,Kirklees,30.0,1732.0,20.5,1368.5,11.0,476.5,59.0,3588.0,0.0226338613646084,0.02034294433149535,0.0303030303030303,0.022954017590926197
96,E08000035,Leeds,53.0,1560.0,35.0,1199.0,13.0,376.0,102.0,3133.0,0.0342679127725856,0.0309597523219814,0.0342465753424657,0.0330557658339641
97,E08000036,Wakefield,24.0,1719.0,19.0,1341.0,6.0,433.0,48.0,3497.0,0.0146799765120375,0.0156139105748757,0.0157480314960629,0.0152017689331122
98,E08000037,Gateshead,48.0,991.5,41.0,820.5,19.0,265.0,109.5,2077.0,0.0464913704485202,0.048734658412077705,0.0697625361620057,0.049680133414439054
99,E09000001,City of London,688.0,3347.0,430.0,2082.0,214.0,983.0,1311.0,6412.0,0.213863848305875,0.2065321805955811,0.2231491136600625,0.2126520681265206
100,E09000002,Barking and Dagenham,140.0,3344.0,97.0,2279.0,50.0,935.0,287.0,6559.0,0.041377227423739,0.0426098535286285,0.0537735849056603,0.0435927442949093
101,E09000003,Barnet,182.0,3794.0,112.0,2565.5,51.0,1083.0,341.5,7440.5,0.0465809578386831,0.043888513837685994,0.04659898477157355,0.045634453619229104
102,E09000004,Bexley,94.5,2754.0,66.5,1905.5,23.0,762.0,186.0,5430.5,0.0367695956924761,0.03610963274346995,0.03233769235849675,0.0359911516769963
103,E09000005,Brent,216.0,3551.5,123.0,2277.5,73.5,1004.5,411.0,6821.0,0.0607965309654881,0.0525812606149995,0.0752628896794363,0.06039526238296275
104,E09000006,Bromley,80.0,2458.0,54.0,1645.0,22.0,666.0,156.0,4748.0,0.0322786832853946,0.0321252059308072,0.0332480818414322,0.0319817247287264
105,E09000007,Camden,438.0,3256.0,233.0,2070.0,139.0,955.0,813.0,6278.0,0.1339741664163412,0.11162575266327,0.1474147414741474,0.1278015397775876
106,E09000008,Croydon,123.0,1910.0,78.0,1180.0,36.0,468.0,236.0,3568.0,0.0623052959501557,0.0675345809601301,0.0742574257425742,0.0655111633372503
107,E09000009,Ealing,130.0,3505.0,81.0,2215.0,57.0,952.0,268.0,6665.0,0.0380383527192706,0.0374186550976138,0.0611764705882353,0.0412221144519883
108,E09000010,Enfield,122.0,3735.0,83.0,2572.0,39.0,1065.0,243.0,7360.0,0.0337078651685393,0.03198127925117,0.0379241516966067,0.0333034456257205
109,E09000011,Greenwich,124.0,2966.0,87.0,2015.0,34.0,847.0,245.0,5824.0,0.0475844533236469,0.0482213438735177,0.0457079152731326,0.0475180313958421
110,E09000012,Hackney,256.0,3240.0,174.0,2087.0,80.0,934.0,513.0,6258.0,0.0797967722653915,0.0826281732205077,0.0868725868725868,0.082233502538071
111,E09000013,Hammersmith and Fulham,319.5,3620.0,146.5,2229.0,103.0,1000.0,566.0,6836.0,0.08950077141951635,0.066929980973048,0.1037424213453157,0.08435177379230045
112,E09000014,Haringey,291.0,3493.0,173.0,2351.0,86.0,1019.0,550.0,6859.0,0.0795299262093468,0.0709621245102307,0.0813844714686623,0.0764101139205334
113,E09000015,Harrow,137.0,2731.5,79.5,1776.0,41.0,756.5,252.5,5248.5,0.04890182239121515,0.043023111044003554,0.05160339316171735,0.048031763534693905
114,E09000016,Havering,66.0,2983.0,41.0,2085.0,21.0,820.0,125.0,5875.0,0.0207681365576102,0.0184310018903591,0.0250596658711217,0.0207820197044334
