,id,name,employment_bus,employment_car,education_bus,education_car,healthcare_bus,healthcare_car,total_bus,total_car,employment_ratio,education_ratio,healthcare_ratio,ratio
0,E06000001,Hartlepool,48.0,496.0,36.0,413.0,14.0,141.0,95.0,1044.0,0.0634307127064638,0.0572931178601281,0.0693069306930693,0.061014309942120495
1,E06000002,Middlesbrough,66.0,267.0,63.0,250.0,35.0,76.0,156.0,592.0,0.1052342505629703,0.09745376625172021,0.1933701657458563,0.1002842116154712
2,E06000003,Redcar and Cleveland,55.0,2925.0,44.0,2279.0,24.0,895.0,123.0,6099.0,0.1047055647755073,0.1000906986386566,0.1751824817518248,0.11129999530383239
3,E06000004,Stockton-on-Tees,68.0,2730.0,53.0,2085.0,25.0,850.0,145.0,5665.0,0.0980907927228844,0.0857605177993527,0.1351351351351351,0.09704072917717971
4,E06000005,Darlington,54.0,277.0,46.0,240.0,13.0,81.0,111.0,597.0,0.0871705142214292,0.0801393728222996,0.0833333333333333,0.0820031019788667
5,E06000006,Halton,53.0,961.0,45.0,768.0,14.0,305.0,110.0,2034.0,0.0214135584488812,0.023921406724991597,0.0194174757281553,0.0214587767312044
6,E06000007,Warrington,91.0,2884.0,64.0,2252.0,24.0,896.0,178.0,6032.0,0.462024925375972,0.4302567691138654,0.739645450488824,0.47597622598125766
7,E06000008,Blackburn with Darwen,78.0,1084.0,71.0,806.0,31.0,344.0,180.0,2231.0,0.054535796076413505,0.0652190517972452,0.0795454545454545,0.06201398553339169
8,E06000009,Blackpool,56.0,525.0,36.0,447.0,17.0,142.0,106.0,1114.0,0.1777135645011293,0.1187833307276738,0.19474388228814218,0.1544921873412082
9,E06000010,"Kingston upon Hull, City of",113.0,209.0,74.0,187.0,30.0,55.0,212.0,451.0,0.2646703150300273,0.2400718093787401,0.3779983457402812,0.2549594726716498
10,E06000011,East Riding of Yorkshire,52.0,1285.0,35.0,1015.0,15.0,305.0,99.0,2605.0,0.1651376146788991,0.1422764227642276,0.3043478260869565,0.1636363636363636
11,E06000012,North East Lincolnshire,61.0,223.0,43.0,164.0,24.0,51.0,127.0,438.0,0.24962501874906262,0.2078651685393258,0.3709677419354839,0.2421421785177953
12,E06000013,North Lincolnshire,46.0,626.0,37.0,524.0,11.0,155.0,94.0,1305.0,0.0942158616577221,0.0898058252427184,0.1020408163265306,0.0905858284081315
